run_id,resize_number,old_capacity,new_capacity,gamma_effective,size,trigger_load,alpha_pre,alpha_post,moved_entries,pair_collisions_after,old_hash_a,old_hash_b,new_hash_a,new_hash_b
n1000-g1.5-t0.8-r1-h31042,1,11,17,1.5454545454545454,8,0.8181818181818182,0.7272727272727273,0.47058823529411764,8,4,1747481948824663489,1018574062632349030,1568554954941751187,1058122835884555215
n1000-g1.5-t0.8-r1-h31042,2,17,29,1.7058823529411764,13,0.8235294117647058,0.7647058823529411,0.4482758620689655,13,5,1568554954941751187,1058122835884555215,1066652072911828271,605471332473462994
n1000-g1.5-t0.8-r1-h31042,3,29,47,1.6206896551724137,23,0.8275862068965517,0.7931034482758621,0.48936170212765956,23,3,1066652072911828271,605471332473462994,1039257429923810267,1671058991692678914
n1000-g1.5-t0.8-r1-h31042,4,47,71,1.5106382978723405,37,0.8085106382978723,0.7872340425531915,0.5211267605633803,37,9,1039257429923810267,1671058991692678914,289208513342756656,1737239256259392775
n1000-g1.5-t0.8-r1-h31042,5,71,107,1.5070422535211268,56,0.8028169014084507,0.7887323943661971,0.5233644859813084,56,13,289208513342756656,1737239256259392775,1175790274723732104,1110046690991243311
n1000-g1.5-t0.8-r1-h31042,6,107,163,1.5233644859813085,85,0.8037383177570093,0.794392523364486,0.5214723926380368,85,23,1175790274723732104,1110046690991243311,2223751552928785042,585906322912266558
n1000-g1.5-t0.8-r1-h31042,7,163,251,1.539877300613497,130,0.803680981595092,0.7975460122699386,0.5179282868525896,130,39,2223751552928785042,585906322912266558,216001057262141823,1258409179699703360
n1000-g1.5-t0.8-r1-h31042,8,251,379,1.5099601593625498,200,0.8007968127490039,0.796812749003984,0.5277044854881267,200,61,216001057262141823,1258409179699703360,1818499928968777257,1871060345558551550
n1000-g1.5-t0.8-r1-h31042,9,379,569,1.5013192612137203,303,0.8021108179419525,0.7994722955145118,0.5325131810193322,303,68,1818499928968777257,1871060345558551550,842103669965125932,1719460426985524411
n1000-g1.5-t0.8-r1-h31042,10,569,857,1.5061511423550087,455,0.8014059753954306,0.7996485061511424,0.5309218203033839,455,101,842103669965125932,1719460426985524411,663312402986563884,1147830989259873065
n1000-g1.5-t0.8-r1-h31042,11,857,1289,1.5040840140023337,685,0.8004667444574096,0.7992998833138857,0.5314197051978278,685,169,663312402986563884,1147830989259873065,530133399472470732,283097919641614406
n1000-g1.25-t0.7-r1-h31042,1,11,17,1.5454545454545454,7,0.7272727272727273,0.6363636363636364,0.4117647058823529,7,3,1747481948824663489,1018574062632349030,1568554954941751187,1058122835884555215
n1000-g1.25-t0.7-r1-h31042,2,17,23,1.3529411764705883,11,0.7058823529411765,0.6470588235294118,0.4782608695652174,11,1,1568554954941751187,1058122835884555215,1066652072911828271,605471332473462994
n1000-g1.25-t0.7-r1-h31042,3,23,29,1.2608695652173914,16,0.7391304347826086,0.6956521739130435,0.5517241379310345,16,1,1066652072911828271,605471332473462994,1039257429923810267,1671058991692678914
n1000-g1.25-t0.7-r1-h31042,4,29,37,1.2758620689655173,20,0.7241379310344828,0.6896551724137931,0.5405405405405406,20,5,1039257429923810267,1671058991692678914,289208513342756656,1737239256259392775
n1000-g1.25-t0.7-r1-h31042,5,37,47,1.2702702702702702,25,0.7027027027027027,0.6756756756756757,0.5319148936170213,25,4,289208513342756656,1737239256259392775,1175790274723732104,1110046690991243311
n1000-g1.25-t0.7-r1-h31042,6,47,59,1.2553191489361701,32,0.7021276595744681,0.6808510638297872,0.5423728813559322,32,10,1175790274723732104,1110046690991243311,2223751552928785042,585906322912266558
n1000-g1.25-t0.7-r1-h31042,7,59,79,1.3389830508474576,41,0.711864406779661,0.6949152542372882,0.5189873417721519,41,9,2223751552928785042,585906322912266558,216001057262141823,1258409179699703360
n1000-g1.25-t0.7-r1-h31042,8,79,101,1.2784810126582278,55,0.7088607594936709,0.6962025316455697,0.5445544554455446,55,10,216001057262141823,1258409179699703360,1818499928968777257,1871060345558551550
n1000-g1.25-t0.7-r1-h31042,9,101,127,1.2574257425742574,70,0.7029702970297029,0.693069306930693,0.5511811023622047,70,19,1818499928968777257,1871060345558551550,842103669965125932,1719460426985524411
n1000-g1.25-t0.7-r1-h31042,10,127,163,1.2834645669291338,88,0.7007874015748031,0.6929133858267716,0.5398773006134969,88,27,842103669965125932,1719460426985524411,663312402986563884,1147830989259873065
n1000-g1.25-t0.7-r1-h31042,11,163,211,1.294478527607362,114,0.7055214723926381,0.6993865030674846,0.5402843601895735,114,25,663312402986563884,1147830989259873065,530133399472470732,283097919641614406
n1000-g1.25-t0.7-r1-h31042,12,211,269,1.2748815165876777,147,0.7014218009478673,0.6966824644549763,0.5464684014869888,147,35,530133399472470732,283097919641614406,1055129681217370319,1286563909733345339
n1000-g1.25-t0.7-r1-h31042,13,269,337,1.2527881040892193,188,0.7026022304832714,0.6988847583643123,0.5578635014836796,188,59,1055129681217370319,1286563909733345339,475811965840538922,361802660261835333
n1000-g1.25-t0.7-r1-h31042,14,337,431,1.2789317507418398,235,0.7002967359050445,0.6973293768545994,0.5452436194895591,235,66,475811965840538922,361802660261835333,511551704733751547,74427130775316711
n1000-g1.25-t0.7-r1-h31042,15,431,541,1.2552204176334107,301,0.7006960556844548,0.6983758700696056,0.55637707948244,301,86,511551704733751547,74427130775316711,2159004646025084710,128890867864186189
n1000-g1.25-t0.7-r1-h31042,16,541,677,1.2513863216266174,378,0.7005545286506469,0.6987060998151571,0.5583456425406204,378,100,2159004646025084710,128890867864186189,2253279181086737181,1402874701225388646
n1000-g1.25-t0.7-r1-h31042,17,677,853,1.259970457902511,473,0.7001477104874446,0.6986706056129985,0.5545134818288394,473,498,2253279181086737181,1402874701225388646,1553425003596823705,1754792764004595386
n1000-g1.25-t0.7-r1-h31042,18,853,1069,1.2532239155920282,597,0.7010550996483002,0.6998827667057445,0.558465855940131,597,171,1553425003596823705,1754792764004595386,616306861933080492,1569437286289445084
n1000-g1.25-t0.7-r1-h31042,19,1069,1361,1.2731524789522919,748,0.7006548175865295,0.6997193638914874,0.5495958853783982,748,180,616306861933080492,1569437286289445084,335617465972059138,581327705028044665
n1000-g1.25-t0.7-r1-h31042,20,1361,1709,1.2556943423952975,952,0.7002204261572373,0.6994856722997795,0.5570509069631363,952,257,335617465972059138,581327705028044665,1281807480313938569,1286278291082997294
n1000-g3-t0.5-r1-h31042,1,11,37,3.3636363636363638,5,0.5454545454545454,0.45454545454545453,0.13513513513513514,5,0,1747481948824663489,1018574062632349030,1568554954941751187,1058122835884555215
n1000-g3-t0.5-r1-h31042,2,37,113,3.054054054054054,18,0.5135135135135135,0.4864864864864865,0.1592920353982301,18,0,1568554954941751187,1058122835884555215,1066652072911828271,605471332473462994
n1000-g3-t0.5-r1-h31042,3,113,347,3.0707964601769913,56,0.504424778761062,0.49557522123893805,0.16138328530259366,56,2,1066652072911828271,605471332473462994,1039257429923810267,1671058991692678914
n1000-g3-t0.5-r1-h31042,4,347,1049,3.0230547550432276,173,0.5014409221902018,0.49855907780979825,0.16491897044804577,173,9,1039257429923810267,1671058991692678914,289208513342756656,1737239256259392775
n1000-g3-t0.5-r1-h31042,5,1049,3163,3.015252621544328,524,0.5004766444232602,0.49952335557673977,0.16566550742965538,524,42,289208513342756656,1737239256259392775,1175790274723732104,1110046690991243311
n1000-g2-t0.7-r1-h31042,1,11,23,2.090909090909091,7,0.7272727272727273,0.6363636363636364,0.30434782608695654,7,1,1747481948824663489,1018574062632349030,1568554954941751187,1058122835884555215
n1000-g2-t0.7-r1-h31042,2,23,47,2.0434782608695654,16,0.7391304347826086,0.6956521739130435,0.3404255319148936,16,4,1568554954941751187,1058122835884555215,1066652072911828271,605471332473462994
n1000-g2-t0.7-r1-h31042,3,47,97,2.0638297872340425,32,0.7021276595744681,0.6808510638297872,0.32989690721649484,32,3,1066652072911828271,605471332473462994,1039257429923810267,1671058991692678914
n1000-g2-t0.7-r1-h31042,4,97,197,2.0309278350515463,67,0.7010309278350515,0.6907216494845361,0.3401015228426396,67,16,1039257429923810267,1671058991692678914,289208513342756656,1737239256259392775
n1000-g2-t0.7-r1-h31042,5,197,397,2.015228426395939,137,0.700507614213198,0.6954314720812182,0.345088161209068,137,20,289208513342756656,1737239256259392775,1175790274723732104,1110046690991243311
n1000-g2-t0.7-r1-h31042,6,397,797,2.0075566750629723,277,0.7002518891687658,0.6977329974811083,0.3475533249686324,277,55,1175790274723732104,1110046690991243311,2223751552928785042,585906322912266558
n1000-g2-t0.7-r1-h31042,7,797,1597,2.0037641154328734,557,0.7001254705144291,0.698870765370138,0.3487789605510332,557,112,2223751552928785042,585906322912266558,216001057262141823,1258409179699703360
n1000-g2-t0.5-r1-h31042,1,11,23,2.090909090909091,5,0.5454545454545454,0.45454545454545453,0.21739130434782608,5,0,1747481948824663489,1018574062632349030,1568554954941751187,1058122835884555215
n1000-g2-t0.5-r1-h31042,2,23,47,2.0434782608695654,11,0.5217391304347826,0.4782608695652174,0.23404255319148937,11,2,1568554954941751187,1058122835884555215,1066652072911828271,605471332473462994
n1000-g2-t0.5-r1-h31042,3,47,97,2.0638297872340425,23,0.5106382978723404,0.48936170212765956,0.23711340206185566,23,0,1066652072911828271,605471332473462994,1039257429923810267,1671058991692678914
n1000-g2-t0.5-r1-h31042,4,97,197,2.0309278350515463,48,0.5051546391752577,0.4948453608247423,0.2436548223350254,48,10,1039257429923810267,1671058991692678914,289208513342756656,1737239256259392775
n1000-g2-t0.5-r1-h31042,5,197,397,2.015228426395939,98,0.5025380710659898,0.49746192893401014,0.24685138539042822,98,9,289208513342756656,1737239256259392775,1175790274723732104,1110046690991243311
n1000-g2-t0.5-r1-h31042,6,397,797,2.0075566750629723,198,0.5012594458438288,0.4987405541561713,0.24843161856963614,198,25,1175790274723732104,1110046690991243311,2223751552928785042,585906322912266558
n1000-g2-t0.5-r1-h31042,7,797,1597,2.0037641154328734,398,0.5006273525721455,0.4993726474278545,0.24921728240450847,398,59,2223751552928785042,585906322912266558,216001057262141823,1258409179699703360
